time,id,type,min1_lat,min1_lon,z_min1,min2_lat,min2_lon,z_min2,max_lat,max_lon,z_max
0,0,omega,83.00,-135.50,5540.1,76.50,-62.50,5380.6,89.75,-120.00,5563.3
0,1,rex,73.25,-127.00,5355.4,,,,82,-136.00,5540.3
0,2,rex,73.25,-127.00,5355.4,,,,82,-136.00,5540.3
0,3,omega,69.75,127.00,5629.0,56.25,177.50,5380.3,73.25,155.25,5728.6
0,4,omega,61.00,117.50,5638.2,56.00,160.75,5528.4,64.50,127.75,5646.6
0,5,omega,58.25,-95.00,5597.6,41.50,-56.25,5676.6,60.50,-77.00,5678.1
0,6,omega,51.75,-83.50,5539.4,42.25,-15.50,5640.2,52.00,-31.00,5936.3
0,7,rex,48.25,95.00,5621.6,,,,59,91.50,5710.3
0,8,rex,48.00,93.25,5622.7,,,,58,90.00,5710.3
0,9,rex,45.00,-132.75,5512.9,,,,58,-136.25,5695.6
0,10,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,11,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,12,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,13,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,14,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,15,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,16,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,17,omega,37.50,24.25,5830.5,27.50,60.75,5897.3,39.00,46.00,5898.4
0,18,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,19,rex,41.00,73.25,5793.6,,,,46,69.25,5810.7
0,20,rex,41.00,73.25,5793.6,,,,46,69.25,5810.7
0,21,rex,41.00,73.25,5793.6,,,,46,69.25,5810.7
0,22,rex,41.00,73.25,5793.6,,,,46,69.25,5810.7
0,23,rex,37.75,90.50,5787.3,,,,42,86.50,5772.7
0,24,rex,41.25,89.25,5769.4,,,,44,82.00,5773.7
0,25,omega,40.75,-163.25,5706.7,34.25,-95.75,5865.2,49.75,-115.00,5640.6
0,26,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,27,rex,37.75,90.50,5787.3,,,,42,86.50,5772.7
0,28,rex,37.75,90.50,5787.3,,,,42,86.50,5772.7
0,29,rex,37.75,90.50,5787.3,,,,42,86.50,5772.7
0,30,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,31,rex,39.50,80.25,5755.7,,,,43,76.75,5790.3
0,32,rex,37.75,90.50,5787.3,,,,42,86.50,5772.7
0,33,rex,37.75,90.50,5787.3,,,,42,86.50,5772.7
0,34,rex,38.75,74.75,5788.7,,,,42,70.75,5802.4
0,35,rex,38.75,74.75,5788.7,,,,42,70.75,5802.4
0,36,rex,38.75,74.75,5788.7,,,,42,70.75,5802.4
0,37,rex,39.25,96.50,5779.2,,,,48,90.75,5620.6
0,38,rex,39.25,97.50,5779.5,,,,48,90.75,5620.6
0,39,rex,39.00,98.75,5782.0,,,,48,90.75,5620.6
0,40,rex,38.75,74.75,5788.7,,,,42,70.75,5802.4
0,41,rex,38.75,74.75,5788.7,,,,42,70.75,5802.4
0,42,rex,37.75,90.50,5787.3,,,,42,86.50,5772.7
0,43,rex,38.25,75.50,5786.2,,,,42,72.00,5800.0
0,44,rex,38.25,75.50,5786.2,,,,42,72.00,5800.0
0,45,rex,38.25,75.50,5786.2,,,,42,72.00,5800.0
0,46,rex,38.25,75.50,5786.2,,,,42,72.00,5800.0
0,47,rex,38.25,101.25,5784.8,,,,50,92.00,5630.7
0,48,rex,38.00,87.25,5785.2,,,,42,83.75,5772.3
0,49,rex,38.00,87.25,5785.2,,,,42,83.75,5772.3
0,50,rex,37.50,86.50,5787.9,,,,42,83.00,5771.7
0,51,rex,37.75,90.50,5787.3,,,,42,86.50,5772.7
0,52,rex,37.50,24.25,5830.5,,,,50,18.75,5950.1
0,53,rex,37.50,86.50,5787.9,,,,42,83.00,5771.7
0,54,rex,36.25,72.75,5797.4,,,,40,69.50,5802.6
0,55,rex,37.00,86.00,5788.1,,,,42,83.00,5771.7
0,56,rex,36.75,72.50,5798.7,,,,40,69.50,5802.6
0,57,rex,36.75,72.50,5798.7,,,,40,69.50,5802.6
0,58,rex,36.75,75.50,5789.6,,,,42,72.00,5800.0
0,59,rex,36.75,85.00,5790.7,,,,42,82.00,5772.8
0,60,rex,36.75,87.25,5788.7,,,,42,83.75,5772.3
0,61,rex,36.25,72.75,5797.4,,,,40,69.50,5802.6
0,62,rex,36.50,89.75,5790.5,,,,42,86.50,5772.7
0,63,rex,36.25,72.75,5797.4,,,,40,69.50,5802.6
0,64,rex,35.75,76.25,5791.8,,,,41,72.75,5797.9
