time,latitude,longitude,z
0,89.75,236.25,5563.6
0,89.75,236.75,5563.5
0,89.75,237.50,5563.5
0,89.75,238.25,5563.4
0,89.75,238.75,5563.4
0,89.75,239.50,5563.4
0,89.75,240.00,5563.3
0,83.75,223.25,5540.0
0,83.25,223.25,5540.2
0,83.25,223.75,5540.2
0,83.25,224.25,5540.2
0,83.25,224.75,5540.2
0,82.50,223.25,5540.3
0,82.50,224.00,5540.3
0,73.50,156.50,5728.7
0,73.50,156.75,5728.7
0,73.25,155.25,5728.6
0,64.50,127.75,5646.6
0,64.50,129.00,5646.4
0,64.25,126.75,5646.5
0,63.25,208.75,5684.4
0,63.00,50.00,5578.7
0,62.75,102.50,5727.7
0,62.50,208.50,5688.3
0,61.25,209.25,5692.7
0,61.25,213.25,5700.2
0,60.50,283.00,5678.1
0,60.50,283.25,5678.1
0,59.25,91.50,5710.3
0,59.00,91.00,5710.2
0,58.75,223.25,5697.9
0,58.50,90.00,5710.3
0,57.75,226.25,5693.5
0,57.50,223.75,5695.6
0,57.50,225.00,5694.9
0,57.25,112.50,5665.2
0,57.00,113.25,5665.3
0,56.25,115.75,5668.5
0,56.25,116.50,5668.2
0,56.00,354.25,5797.6
0,53.50,244.00,5637.1
0,52.50,243.00,5634.0
0,52.00,329.00,5936.3
0,51.75,244.00,5634.3
0,51.75,329.00,5936.3
0,51.50,245.00,5634.1
0,50.50,243.25,5633.1
0,49.75,245.00,5640.6
0,49.50,18.75,5950.1
0,49.50,91.00,5634.1
0,49.50,92.00,5630.7
0,47.50,90.75,5620.6
0,47.25,92.00,5622.6
0,47.00,8.75,5970.0
0,47.00,9.75,5969.5
0,46.50,8.00,5973.6
0,46.50,9.50,5970.4
0,46.00,7.75,5973.4
0,45.75,8.75,5971.9
0,45.75,69.25,5810.7
0,45.25,7.25,5974.8
0,45.25,8.25,5974.6
0,45.25,81.50,5770.8
0,44.50,7.50,5976.3
0,44.50,79.75,5778.1
0,44.25,6.50,5976.9
0,44.25,80.50,5777.3
0,44.25,82.00,5773.7
0,44.00,83.75,5772.2
0,43.75,80.25,5777.4
0,43.75,80.50,5777.4
0,43.50,6.75,5977.1
0,43.50,81.25,5776.9
0,43.50,81.50,5776.9
0,43.25,83.50,5774.3
0,43.00,6.25,5977.2
0,43.00,82.25,5773.7
0,43.00,86.25,5765.6
0,42.75,73.25,5798.5
0,42.75,74.25,5797.1
0,42.75,74.75,5797.2
0,42.75,76.75,5790.3
0,42.50,6.25,5977.2
0,42.50,44.75,5872.0
0,42.50,70.75,5802.4
0,42.50,83.00,5771.7
0,42.25,47.50,5870.8
0,42.25,75.75,5789.6
0,42.25,76.25,5789.3
0,42.25,82.00,5772.8
0,42.00,5.50,5977.0
0,42.00,74.00,5794.9
0,42.00,80.50,5773.7
0,42.00,83.75,5772.3
0,42.00,85.50,5772.5
0,42.00,85.75,5772.5
0,41.75,72.00,5800.0
0,41.75,86.50,5772.7
0,41.50,71.00,5800.7
0,41.50,72.75,5799.9
0,41.50,75.25,5793.4
0,41.50,79.75,5775.6
0,41.50,84.50,5770.6
0,41.00,5.25,5976.7
0,41.00,70.25,5801.1
0,40.75,68.75,5802.0
0,40.75,69.00,5802.0
0,40.75,72.75,5797.9
0,40.50,4.75,5976.6
0,40.50,69.75,5802.7
0,40.50,71.25,5800.5
0,40.25,72.50,5799.0
0,40.25,263.75,5827.8
0,40.00,68.25,5803.1
0,40.00,71.25,5802.1
0,39.75,69.50,5802.6
0,39.75,72.00,5802.8
0,39.75,76.50,5786.4
0,39.75,93.50,5778.2
0,39.75,94.25,5778.4
0,39.50,68.75,5803.5
0,39.50,96.25,5780.7
0,39.25,71.00,5804.1
0,39.25,93.50,5784.1
0,39.25,98.75,5784.0
0,39.00,46.00,5898.4
0,38.75,67.50,5810.3
0,38.75,68.50,5809.0
0,38.75,91.50,5784.1
0,38.50,75.00,5789.7
0,38.25,69.75,5805.9
0,38.25,87.50,5787.6
0,38.00,70.50,5804.7
0,38.00,90.25,5788.3
0,38.00,258.75,5857.6
0,37.75,324.50,5919.0
0,37.50,87.00,5789.8
0,37.00,72.00,5801.7
0,37.00,85.00,5791.6
0,37.00,89.25,5791.6
0,37.00,256.25,5868.0
0,36.75,74.25,5795.4
0,36.75,75.00,5793.3
0,36.75,88.75,5791.5
0,36.50,5.50,5964.1
0,36.50,76.00,5793.2
0,36.50,78.00,5790.1
0,36.50,83.00,5794.0
0,36.50,254.50,5868.5
0,36.25,32.75,5890.6
0,36.25,75.00,5793.6
0,36.00,51.25,5920.7
0,36.00,75.75,5793.5
0,36.00,76.50,5792.8
0,36.00,80.25,5791.5
0,35.75,70.75,5808.3
0,35.75,71.50,5806.1
0,35.75,72.25,5803.5
0,35.75,73.00,5801.6
0,35.75,82.50,5793.7
0,35.75,254.25,5872.1
0,35.50,74.75,5795.5
0,35.50,265.50,5868.1
0,35.25,47.25,5920.8
0,35.25,67.75,5828.4
0,35.25,68.50,5826.1
