time,latitude,longitude,z
0,86.25,-59.75,5177.0
0,86.25,-59.00,5176.9
0,86.25,-58.25,5176.9
0,86.25,-57.00,5176.9
0,86.25,-55.75,5176.8
0,86.25,-55.00,5176.8
0,86.25,-54.25,5176.7
0,86.25,-53.25,5176.6
0,86.25,-43.75,5176.2
0,83.75,155.50,5383.6
0,83.75,157.00,5383.5
0,83.50,153.00,5383.6
0,83.50,153.75,5383.6
0,83.25,150.00,5384.0
0,73.50,-147.25,5405.6
0,73.25,-148.50,5405.6
0,65.75,-44.75,5518.8
0,55.50,-114.50,5808.7
0,55.50,-111.00,5806.9
0,55.00,-115.25,5808.2
0,54.75,-116.25,5807.5
0,54.25,-117.25,5806.5
0,54.25,85.75,5700.7
0,52.50,-137.25,5600.9
0,52.50,-112.25,5816.1
0,51.75,35.50,5674.1
0,51.50,-110.75,5816.0
0,51.00,129.00,5645.8
0,50.50,143.00,5609.5
0,46.00,99.25,5668.4
0,45.50,33.00,5720.1
0,45.25,56.75,5754.1
0,44.75,28.25,5717.6
0,44.75,172.25,5692.6
0,43.50,-177.25,5639.8
0,42.50,-128.50,5892.8
0,41.75,-128.75,5893.0
0,40.00,-112.25,5926.3
0,38.25,-114.50,5916.4
0,36.00,138.75,5837.2
0,34.50,-17.25,5841.3
0,32.75,-96.00,5914.5
0,32.75,-57.50,5949.8
0,32.50,-129.50,5861.8
0,32.00,-57.00,5949.8
0,30.75,-122.50,5844.4
0,30.75,34.00,5852.9
0,28.50,-139.75,5780.1
0,26.25,-166.75,5896.0
0,25.50,-163.50,5896.5
1,86.50,-46.00,5171.2
1,86.50,-45.25,5171.2
1,86.50,-42.50,5171.2
1,86.00,-65.00,5173.1
1,85.75,-69.25,5173.3
1,85.75,-68.50,5173.2
1,85.75,-67.50,5173.2
1,85.75,-66.00,5173.1
1,85.50,-71.50,5173.4
1,85.50,-70.50,5173.3
1,74.00,-138.75,5440.1
1,73.75,-141.00,5440.2
1,73.50,-143.00,5440.2
1,73.00,-146.00,5439.5
1,71.75,-149.75,5438.4
1,71.25,-148.50,5438.5
1,65.00,-46.00,5514.3
1,62.00,178.50,5706.8
1,60.25,-20.50,5284.4
1,60.25,117.50,5630.1
1,60.00,-69.50,5525.2
1,56.00,-112.75,5801.9
1,52.50,127.50,5644.0
1,52.25,84.50,5697.7
1,51.75,-133.75,5601.7
1,51.50,32.50,5668.5
1,50.25,88.00,5703.9
1,45.75,60.75,5753.7
1,44.50,-178.25,5636.0
1,44.50,30.25,5723.8
1,44.00,28.50,5723.1
1,40.75,13.25,5670.7
1,32.00,58.50,5911.9
1,31.00,136.25,5845.5
1,29.50,-139.00,5777.1
2,86.75,-41.50,5177.9
2,86.75,-40.50,5177.9
2,86.75,-39.50,5177.8
2,86.50,-37.75,5177.8
2,86.50,-36.50,5177.8
2,86.50,-35.50,5177.8
2,86.50,-34.00,5177.7
2,86.50,-33.00,5177.7
2,86.50,-31.50,5177.8
2,86.50,-30.50,5177.9
2,86.25,-23.00,5178.6
2,86.25,-21.75,5178.7
2,85.75,-13.75,5179.8
2,85.75,-13.00,5179.8
2,72.75,-143.00,5462.1
2,70.00,-147.50,5453.3
2,64.25,-47.00,5530.4
2,63.75,-45.00,5531.0
2,62.75,-42.75,5532.3
2,60.75,-179.25,5703.2
2,55.25,-106.75,5798.4
2,52.75,129.25,5639.4
2,52.25,-129.50,5607.2
2,52.00,93.00,5714.6
2,51.75,88.25,5711.1
2,50.75,86.25,5712.2
2,50.25,85.25,5711.8
2,50.25,87.00,5712.0
2,49.50,96.75,5703.7
2,48.75,87.50,5710.8
2,48.75,88.25,5710.6
2,48.75,98.75,5704.5
2,48.25,51.50,5784.4
2,48.00,45.50,5776.6
2,47.00,51.00,5784.2
2,46.75,49.75,5784.3
2,46.75,51.75,5784.9
2,45.50,25.75,5755.9
2,45.00,-179.75,5630.4
2,44.00,22.00,5758.6
2,40.00,179.00,5666.6
2,35.50,50.00,5876.4
2,35.25,-16.50,5822.1
2,34.75,-126.00,5832.6
2,33.00,60.00,5916.0
2,32.00,-28.00,5901.1
2,30.50,-80.75,5897.8
2,30.00,-138.25,5762.1
2,28.75,-97.00,5906.4
2,27.00,-94.25,5905.5
3,89.75,-101.75,5211.1
3,89.75,-100.25,5211.0
