time,latitude,longitude,z,centroid
0,62.75,36.25,5887.9,-1
0,62.50,35.50,5888.0,-1
0,61.00,156.75,5815.8,-1
0,41.75,-115.50,5937.1,-1
0,41.75,-114.00,5936.4,-1
0,41.50,-124.00,5916.7,-1
0,41.50,-117.50,5936.4,-1
0,41.25,-123.00,5920.6,-1
0,41.25,-119.25,5933.4,-1
0,41.25,-111.75,5928.1,-1
0,41.00,-108.50,5932.0,-1
0,40.50,-123.50,5917.3,-1
0,40.50,-113.25,5930.3,-1
0,40.50,-111.75,5929.8,-1
0,40.50,-110.25,5930.3,-1
0,40.00,-109.00,5929.8,-1
0,39.25,-114.00,5924.7,-1
0,39.25,-111.50,5928.3,-1
0,39.25,-109.75,5932.6,-1
0,39.25,-104.50,5924.4,-1
0,38.50,-109.50,5933.7,-1
0,38.50,-108.25,5933.4,-1
0,38.25,-106.75,5932.2,-1
0,38.00,-154.50,5919.0,-1
0,37.25,-156.50,5918.7,-1
0,37.25,-108.50,5935.5,-1
0,37.25,-107.75,5934.9,-1
0,37.00,-106.25,5937.5,-1
0,36.75,-30.00,5928.5,-1
0,36.50,83.00,5841.8,-1
0,36.25,-108.75,5935.5,-1
0,36.00,-108.00,5936.2,-1
0,36.00,-106.75,5934.9,-1
0,36.00,-104.25,5936.9,-1
0,35.75,-105.75,5940.0,-1
0,35.75,-4.75,5951.8,-1
0,35.75,82.50,5842.7,-1
0,35.50,64.25,5884.9,-1
0,35.25,-60.75,5951.3,-1
0,35.00,-107.25,5934.3,-1
0,35.00,-106.25,5935.1,-1
0,35.00,-61.75,5951.3,-1
0,34.75,-104.25,5936.9,-1
0,34.75,-62.75,5951.5,-1
0,34.00,-6.00,5955.4,-1
0,33.75,-2.00,5955.2,-1
0,33.75,162.00,5929.7,-1
0,33.50,57.25,5902.2,-1
0,33.25,-5.00,5957.2,-1
0,33.25,-3.25,5958.8,-1
0,33.00,-56.75,5952.9,-1
0,33.00,-8.50,5949.0,-1
0,32.50,-4.75,5958.8,-1
0,32.50,56.25,5901.4,-1
0,32.50,57.25,5901.1,-1
0,32.50,58.25,5899.9,-1
0,32.50,63.00,5893.7,-1
0,32.25,59.25,5900.8,-1
0,32.00,-57.75,5953.8,-1
0,31.75,-7.75,5954.0,-1
0,31.75,-5.50,5958.2,-1
0,31.75,56.25,5900.7,-1
0,31.75,57.00,5900.0,-1
0,31.50,-98.00,5922.7,-1
0,31.50,-4.50,5959.0,-1
0,31.50,54.25,5901.4,-1
0,31.25,50.25,5896.9,-1
0,31.25,83.50,5843.3,-1
0,30.75,-55.00,5953.6,-1
0,30.75,51.00,5898.6,-1
0,30.75,110.00,5887.2,-1
0,30.50,54.75,5902.5,-1
0,30.50,109.25,5886.0,-1
0,30.50,113.75,5890.1,-1
0,30.25,-6.25,5959.3,-1
0,30.25,108.50,5884.5,-1
0,30.25,119.00,5886.2,-1
0,30.00,117.00,5887.2,-1
0,30.00,118.25,5886.6,-1
0,29.75,-8.50,5952.8,-1
0,29.75,107.75,5883.3,-1
0,29.50,-91.75,5912.9,-1
0,29.50,50.75,5898.7,-1
0,28.75,42.00,5883.6,-1
0,28.75,43.75,5884.4,-1
0,28.25,117.25,5886.1,-1
0,27.75,90.25,5851.7,-1
0,27.25,102.00,5864.9,-1
0,26.75,89.00,5851.4,-1
0,26.75,90.50,5851.8,-1
0,26.50,97.25,5862.0,-1
0,26.25,-14.50,5934.9,-1
0,26.25,41.25,5882.5,-1
0,26.25,92.50,5852.8,-1
0,26.00,91.75,5852.8,-1
0,26.00,130.50,5870.8,-1
1,62.75,36.50,5889.8,-1
1,62.50,35.75,5889.8,-1
1,61.50,157.75,5822.4,-1
1,42.00,-115.75,5928.9,-1
1,41.75,-117.25,5925.5,-1
1,41.75,-114.75,5929.6,-1
1,41.50,-122.00,5914.9,-1
1,41.50,-120.25,5916.7,-1
1,40.75,-116.25,5925.9,-1
1,40.75,-113.50,5929.4,-1
1,40.25,-111.00,5932.3,-1
1,40.25,-110.25,5932.7,-1
1,39.00,-108.25,5933.6,-1
1,38.50,-159.50,5919.0,-1
1,38.50,-110.25,5932.5,-1
1,38.25,-109.50,5933.9,-1
1,37.25,-104.00,5933.0,-1
1,37.00,-106.25,5934.8,-1
1,37.00,-105.50,5935.8,-1
1,36.00,-109.75,5933.7,-1
1,36.00,78.00,5861.0,-1
1,35.00,-103.00,5938.8,-1
1,35.00,-4.75,5941.5,-1
1,34.50,-107.25,5935.8,-1
1,34.50,-64.75,5945.0,-1
1,34.25,-104.25,5940.3,-1
1,34.00,62.50,5910.4,-1
1,33.75,160.75,5922.9,-1
1,33.50,-62.00,5948.1,-1
1,33.50,-6.00,5942.8,-1
1,33.50,-5.00,5944.8,-1
1,33.50,-4.25,5945.9,-1
1,33.50,-3.50,5943.0,-1
1,32.75,-105.50,5938.5,-1
1,32.75,-104.75,5936.8,-1
1,32.75,-102.00,5935.8,-1
1,32.50,-4.75,5944.3,-1
1,32.50,57.25,5914.7,-1
1,32.50,59.75,5913.2,-1
1,32.50,63.00,5910.1,-1
1,32.25,54.00,5915.5,-1
1,32.25,56.50,5915.1,-1
1,32.00,-60.25,5946.2,-1
1,32.00,130.50,5870.9,-1
1,31.75,-45.75,5924.6,-1
1,31.75,-8.00,5936.4,-1
1,31.75,-4.50,5941.9,-1
1,31.75,60.25,5913.9,-1
1,31.75,69.50,5885.7,-1
1,31.50,-6.25,5941.8,-1
1,31.50,54.00,5917.4,-1
1,31.50,110.50,5889.1,-1
1,31.25,-57.00,5941.1,-1
1,31.25,-7.00,5941.9,-1
1,31.25,50.25,5912.0,-1
1,31.25,55.00,5915.9,-1
1,31.00,-8.50,5937.5,-1
1,31.00,-7.75,5939.0,-1
1,31.00,53.25,5917.0,-1
1,30.75,-9.25,5933.5,-1
1,30.75,51.00,5912.7,-1
1,30.75,57.25,5912.7,-1
1,30.75,113.75,5891.5,-1
1,30.50,117.00,5891.2,-1
1,30.50,120.00,5885.5,-1
1,30.25,-8.00,5936.4,-1
