time,latitude,longitude,z,centroid
0,80.00,132.00,5233.0,-1
0,65.00,177.25,5442.7,-1
0,64.75,176.50,5442.6,-1
0,64.50,174.75,5442.0,-1
0,63.00,-146.00,5227.0,-1
0,62.00,-143.75,5234.6,-1
0,61.25,-143.25,5238.4,-1
0,61.25,-141.75,5242.4,-1
0,60.75,-140.50,5245.7,-1
0,58.75,-159.75,5184.2,-1
0,54.50,20.75,5650.5,-1
0,54.25,-13.00,5386.8,-1
0,49.00,-9.75,5412.8,-1
0,48.00,16.75,5635.6,-1
0,46.25,-114.25,5505.7,-1
0,45.50,95.00,5579.9,-1
0,44.00,84.00,5649.2,-1
0,42.75,77.00,5678.3,-1
0,39.50,72.25,5739.0,-1
0,36.50,83.25,5803.0,-1
0,35.50,74.00,5815.5,-1
0,35.25,68.50,5808.3,-1
0,32.50,77.00,5845.8,-1
0,32.50,80.00,5840.8,-1
0,32.25,78.50,5843.8,-1
0,32.25,85.50,5840.1,-1
0,32.00,84.00,5839.2,-1
0,31.75,76.50,5848.4,-1
0,31.75,77.75,5845.7,-1
0,31.75,79.25,5843.2,-1
0,31.75,80.00,5840.0,-1
0,31.75,80.75,5840.7,-1
0,31.75,82.75,5840.5,-1
0,31.50,78.50,5844.1,-1
0,31.50,81.50,5841.6,-1
0,31.50,114.50,5765.0,-1
0,31.25,75.75,5849.5,-1
0,31.25,83.50,5839.6,-1
0,31.00,87.00,5835.7,-1
0,31.00,94.75,5825.0,-1
0,31.00,97.25,5821.0,-1
0,31.00,102.25,5809.3,-1
0,30.75,81.50,5839.2,-1
0,30.75,101.00,5810.9,-1
0,30.50,79.25,5838.1,-1
0,30.50,104.50,5799.0,-1
0,30.50,105.25,5798.4,-1
0,30.25,-46.75,5929.6,-1
0,30.00,83.25,5836.7,-1
0,30.00,90.50,5829.6,-1
0,30.00,93.75,5825.5,-1
0,30.00,96.00,5821.9,-1
0,30.00,99.75,5814.4,-1
0,29.75,94.50,5823.9,-1
0,29.75,95.25,5824.4,-1
0,29.75,100.50,5813.7,-1
0,29.75,101.25,5813.0,-1
0,29.75,102.00,5812.8,-1
0,29.50,84.00,5835.0,-1
0,29.25,102.75,5808.4,-1
0,28.75,85.50,5830.2,-1
0,28.50,66.75,5872.5,-1
0,28.50,97.75,5813.8,-1
0,28.50,107.00,5803.4,-1
0,28.25,88.25,5827.3,-1
0,28.00,83.25,5828.2,-1
0,28.00,85.50,5826.9,-1
0,27.50,84.00,5828.6,-1
0,27.50,88.50,5823.4,-1
0,27.00,89.75,5815.8,-1
0,26.75,89.00,5816.0,-1
0,26.25,66.75,5874.1,-1
0,25.75,83.75,5831.1,-1
1,82.50,127.25,5243.2,-1
1,82.50,128.25,5243.1,-1
1,82.50,131.25,5242.7,-1
1,82.50,132.25,5242.7,-1
1,64.25,71.50,5356.8,-1
1,64.25,174.00,5429.5,-1
1,64.25,175.75,5428.7,-1
1,52.75,20.50,5656.5,-1
1,30.75,90.50,5847.3,-1
1,30.50,-44.00,5915.4,-1
1,30.25,97.75,5836.1,-1
1,30.00,91.25,5846.2,-1
1,29.75,96.75,5836.3,-1
1,29.25,96.00,5836.9,-1
1,26.75,105.00,5826.0,-1
2,82.50,160.25,5242.7,-1
2,82.25,136.50,5242.5,-1
2,82.25,137.50,5242.5,-1
2,82.25,138.50,5242.5,-1
2,81.75,144.00,5242.7,-1
2,81.75,144.75,5242.7,-1
2,64.75,67.75,5374.4,-1
2,64.25,69.00,5374.5,-1
2,64.00,69.75,5374.7,-1
2,64.00,171.75,5420.5,-1
2,61.00,-144.50,5203.4,-1
2,60.75,-146.00,5203.4,-1
2,60.50,-143.00,5204.7,-1
2,60.00,-147.75,5203.6,-1
2,52.00,-8.00,5501.9,-1
2,40.00,-105.25,5579.6,-1
2,37.75,86.75,5778.7,-1
2,37.00,-105.50,5581.8,-1
2,36.25,32.50,5465.4,-1
2,36.25,95.00,5783.1,-1
2,33.25,-11.00,5434.4,-1
2,32.00,86.25,5823.1,-1
2,32.00,87.50,5822.9,-1
2,32.00,91.75,5817.2,-1
2,31.50,-42.25,5926.8,-1
2,31.50,93.00,5817.6,-1
2,31.25,89.75,5820.2,-1
2,31.00,85.50,5821.4,-1
2,31.00,95.75,5818.2,-1
2,30.50,77.25,5848.6,-1
2,29.25,91.25,5819.5,-1
2,29.00,96.75,5815.8,-1
2,29.00,119.25,5762.2,-1
2,28.75,89.50,5817.6,-1
2,28.75,104.00,5817.2,-1
2,28.00,114.75,5774.7,-1
2,27.50,-120.00,5832.9,-1
2,27.50,102.50,5819.3,-1
2,27.25,67.25,5876.7,-1
2,26.25,100.00,5829.0,-1
3,84.25,147.25,5229.4,-1
3,84.00,149.50,5229.2,-1
3,84.00,150.50,5229.1,-1
3,83.75,154.25,5229.0,-1
3,83.25,157.25,5229.2,-1
3,65.50,-46.75,4753.9,-1
3,64.50,110.25,5111.3,-1
3,63.50,171.00,5409.7,-1
3,63.00,-140.50,5181.0,-1
3,60.00,-146.75,5199.0,-1
3,60.00,-145.50,5198.8,-1
3,58.75,-146.50,5200.5,-1
3,39.00,93.50,5741.8,-1
3,29.50,-45.75,5912.7,-1
3,28.50,-47.25,5912.8,-1
3,26.75,104.00,5828.8,-1
3,25.50,-57.00,5893.8,-1
