time,latitude,longitude,z,centroid
0,80.00,-59.00,4879.0,0
0,77.50,-173.00,5025.3,1
0,67.75,110.75,5117.7,2
0,67.25,-82.50,4760.4,3
0,67.00,-81.75,4760.2,3
0,66.50,-68.75,4762.9,3
0,66.50,-67.75,4762.7,3
0,66.25,-66.00,4763.1,3
0,66.00,-64.00,4764.1,8
0,65.50,-73.50,4759.7,9
0,62.25,52.00,5192.0,12
0,59.75,113.75,5080.3,13
0,58.25,-49.25,4699.9,14
0,57.50,-9.25,5329.6,15
0,57.00,64.25,5264.1,16
0,53.50,-8.75,5364.9,18
0,51.25,-176.75,5164.2,19
0,50.50,-150.25,5078.6,20
0,45.75,-14.50,5392.1,21
0,45.50,-180.00,5218.1,22
0,43.00,38.50,5388.5,23
0,40.75,36.50,5394.4,23
0,39.75,35.75,5394.7,23
0,38.75,-14.75,5412.1,26
0,38.50,36.25,5393.4,27
0,38.50,37.00,5392.2,28
0,27.50,92.00,5809.4,34
1,75.50,-165.00,5011.4,0
1,67.75,-63.25,4701.3,1
1,67.25,109.50,5116.0,2
1,60.00,50.00,5208.3,4
1,60.00,114.75,5077.6,5
1,59.25,-45.50,4707.8,6
1,58.25,-165.25,5176.1,7
1,51.50,-9.50,5439.6,9
1,51.00,-177.25,5149.9,10
1,51.00,-147.50,5102.0,11
1,47.25,-175.75,5188.2,12
1,42.25,38.00,5401.9,13
1,40.25,38.00,5406.4,13
1,39.50,36.75,5405.0,13
1,39.25,38.50,5405.5,13
1,39.00,37.50,5405.0,13
1,37.00,-12.00,5401.7,18
1,36.25,-12.75,5401.1,18
1,34.00,-13.00,5409.2,18
1,27.25,89.00,5836.2,26
1,25.75,91.50,5824.3,26
2,80.00,-70.50,4788.9,0
2,79.75,-71.50,4788.9,0
2,73.25,-156.75,4987.8,2
2,68.25,-65.25,4667.9,3
2,67.00,108.75,5112.9,4
2,62.50,-42.25,4710.7,5
2,60.25,115.75,5078.9,6
2,57.50,48.25,5228.2,7
2,56.75,-170.00,5160.1,8
2,53.50,58.00,5261.3,9
2,52.00,-144.75,5130.3,10
2,51.25,-7.75,5499.0,11
2,50.75,-176.75,5136.8,12
2,50.00,11.75,5553.1,13
2,49.50,154.00,5292.1,14
2,48.75,-172.50,5159.4,15
2,41.50,37.00,5408.9,16
2,39.50,36.50,5406.8,16
2,35.75,-12.00,5396.6,18
2,32.25,-11.25,5430.5,19
2,26.50,93.25,5810.2,22
3,80.00,-79.50,4752.1,0
3,79.25,-79.50,4750.9,0
3,75.25,-81.00,4758.7,0
3,71.75,-151.25,4970.8,3
3,71.50,-152.00,4970.7,3
3,68.00,-65.00,4662.9,5
3,66.25,107.75,5103.4,6
3,60.50,116.50,5067.9,7
3,55.00,47.25,5234.3,8
3,54.00,55.50,5263.7,9
3,53.50,59.00,5257.3,10
3,53.00,-143.00,5155.3,11
3,51.75,13.75,5557.2,12
3,50.25,-176.25,5124.8,13
3,49.75,-170.75,5142.5,14
3,48.75,156.75,5269.2,15
3,44.50,-170.25,5209.3,16
3,38.75,36.25,5411.3,17
3,34.75,-12.00,5405.2,18
