time,latitude,longitude,z
3,0.500000,59.500000,5873.000000
3,0.500000,59.000000,5873.000000
3,1.750000,56.750000,5873.000000
3,2.500000,59.500000,5873.000000
3,4.250000,-134.500000,5877.000000
3,6.000000,39.750000,5883.000000
3,6.750000,40.000000,5885.000000
3,7.000000,64.750000,5872.000000
3,7.250000,-126.000000,5878.000000
3,7.500000,70.250000,5878.000000
3,8.000000,39.500000,5888.000000
3,8.250000,42.000000,5885.000000
3,8.250000,40.000000,5889.000000
3,8.250000,38.250000,5891.000000
3,8.250000,-118.500000,5884.000000
3,9.000000,38.750000,5890.000000
3,9.500000,77.500000,5884.000000
3,9.500000,36.250000,5885.000000
3,9.750000,38.500000,5890.000000
3,10.000000,39.750000,5894.000000
3,10.000000,-130.750000,5875.000000
3,10.250000,77.000000,5886.000000
3,10.250000,76.250000,5884.000000
3,10.250000,75.750000,5884.000000
3,10.250000,48.000000,5884.000000
3,10.250000,47.500000,5885.000000
3,10.250000,45.000000,5886.000000
3,10.250000,0.000000,5857.000000
3,10.250000,-1.250000,5858.000000
3,10.500000,39.000000,5893.000000
3,10.500000,35.750000,5887.000000
3,10.500000,33.250000,5884.000000
3,10.750000,38.500000,5891.000000
3,10.750000,38.000000,5891.000000
3,10.750000,36.750000,5887.000000
3,11.000000,77.500000,5884.000000
3,11.000000,48.500000,5887.000000
3,11.000000,47.750000,5887.000000
3,11.000000,42.750000,5890.000000
3,11.000000,21.750000,5882.000000
3,11.250000,49.750000,5888.000000
3,11.250000,37.500000,5889.000000
3,11.250000,36.250000,5886.000000
3,11.500000,77.750000,5884.000000
3,11.500000,77.000000,5885.000000
3,11.500000,76.250000,5885.000000
3,11.500000,40.250000,5892.000000
3,11.750000,82.750000,5884.000000
3,11.750000,38.250000,5889.000000
3,12.000000,42.500000,5891.000000
3,12.000000,42.000000,5891.000000
3,12.000000,40.250000,5892.000000
3,12.000000,39.500000,5892.000000
3,12.000000,36.000000,5884.000000
3,12.250000,83.750000,5884.000000
3,12.250000,80.500000,5885.000000
3,12.250000,16.000000,5874.000000
3,12.500000,42.500000,5891.000000
3,12.500000,42.000000,5891.000000
3,12.500000,41.250000,5892.000000
3,12.500000,-5.750000,5856.000000
3,12.750000,84.250000,5885.000000
3,12.750000,22.000000,5879.000000
3,13.000000,84.750000,5885.000000
3,13.000000,40.750000,5892.000000
3,13.000000,38.250000,5889.000000
3,13.000000,24.500000,5882.000000
3,13.000000,23.750000,5881.000000
3,13.250000,77.250000,5885.000000
3,13.250000,40.250000,5892.000000
3,13.250000,26.000000,5882.000000
3,13.500000,85.250000,5884.000000
3,13.500000,43.500000,5891.000000
3,13.500000,41.500000,5892.000000
3,13.500000,27.000000,5882.000000
3,13.750000,76.000000,5877.000000
3,13.750000,42.250000,5892.000000
3,13.750000,39.750000,5891.000000
3,14.000000,41.000000,5893.000000
3,14.000000,36.750000,5887.000000
3,14.000000,35.000000,5886.000000
3,14.250000,46.250000,5894.000000
3,14.250000,39.750000,5891.000000
3,14.500000,36.000000,5887.000000
3,15.000000,76.500000,5877.000000
3,15.000000,74.750000,5876.000000
3,15.000000,32.750000,5884.000000
3,15.250000,44.250000,5897.000000
